Institute_name,Region_type,Institute_address,District,Pincode,Web_address,Email_address,Principal_name,Office_contact,personal_contact,Registrar_name,Autonomy_status
"Alkesh Dinesh Modi Institute for Financial & Management Studies, Mumbai",Urban,"Joravar Bhavan,opp.new boys hostel, mumbai university Kalina Vidyanagari campus,Santacruz(E.)Mumbai- 400 098",Mumbai Suburban,400098,www.mu.ac.in,director@admi.mu.ac.in,Dr Smita Shukla,26521680 Ext.- ,65903680 Ext.- ,Dr Smita Shukla,Non-Autonomous
"Jankidevi Bajaj Institute of Management Studies, Santacruz, Mumbai",Urban,"Sir Vithaldas Thackersey Vidya Vihar, Juhu Road, Santacruz(w), Mumbai 400049",Mumbai Suburban,400049,www.jdbims.net,jdbims@sndt.ac.in,Dr. Meera Shanker,26606626 Ext.- ,26606607 Ext.- ,Dr. Deepak Govind Deshpande,Non-Autonomous
"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai",Urban,"B-Road, Churchgate, Mumbai  400020",Mumbai City,400020,www.simsree.org,director@simsree.net,DR.M.B.Bhide,61510701 Ext.- 700,61510700 Ext.- ,Farooque T.Peerzada,Non-Autonomous
"Bombay College of Pharmacy, Santacruz(E), Mumbai",Urban,"Kalina, Santacruz (E), Mumbai ",Mumbai Suburban,400098,www.bcp.edu.in,office.bcpindia@gmail.com,Dr.Krishnapriya Mohanraj,26670871 Ext.- 240,266701027 Ext.- 240,B.G KAWADE,Autonomous
"Prin. K.M. Kundnani College of Pharmacy, Mumbai",Urban,"Plot No. 23, Jote Joy, Rambhau Salgaonkar Marg, Cuffe Parade Mumbai",Mumbai City,400005,www.kmkcp.com,kmkcp@rediffmail.com,Dr. (Mrs.) Urmila J.Joshi,22164368 Ext.- ,22165276 Ext.- ,Mrs. Swarada Tendulkar,Non-Autonomous
"Jamnalal Bajaj Institute of Management Studies, Mumbai",Urban,"Dadabhai Navroji House, 164, Backbay Reclamation, H. T. Parekh Marg, Rd No.3, Churchgate Mumbai , 400020",Mumbai City,400020,www.jbims.edu,director@jbims.edu,Dr. Kavita Laghate,22747700 Ext.- ,22024052 Ext.- ,Dr. Ajay Deshmukh,Non-Autonomous
"Sardar Patel College of Engineering, Andheri",Urban,"Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",Mumbai Suburban,400058,www.spce.ac.in,principal@spce.ac.in,Dr. Priyadarshi H. Sawant,26232192 Ext.- 201,26708371 Ext.- ,S.R.Vinerkar,Autonomous
"Government College of Pharmacy, Ratnagiri",Urban,"Government Polytechnic Campus, Near Thiba Palace, Ratnagiri",Ratnagiri,415612,www.gcopratnagiri.com,bpharmratnagiri@gmail.com,Dr. Rajendra Panditrao Marathe,221201 Ext.- 02352, Ext.- ,Smt. Kumud Uday Purohit,Non-Autonomous
"Government Polytechnic, Vikramgad.",Rural,"ZadPoli, Shil Road, at post Shil, Tal. Vikramgad, District Palghar",Palghar,401605,,gpvikramgad11@gmail.com,Shri. Atul B. Borade,203133 Ext.- ,203126 Ext.- ,Dr. A.V.Peshve,Non-Autonomous
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Urban,"H.R. Mahajani Marg, Matunga, Mumbai ",Mumbai City,400019,www.vjti.ac.in,director@vjti.org.in,Dr. Dhiren R. Patel,24198101 Ext.- ,24198101 Ext.- ,Dr. V. N. Palaskar,Autonomous
"Government Polytechnic, Malvan",Rural,"A/P Kumbharmath, Malvan, Sindhudurg , 416606",Sindhudurg,416606,www.gpmalvan.co.in,gpmalvan3010@gmail.com,Dr. Suresh A. Patil,252223 Ext.- ,251371 Ext.- ,Mr. B. R. Ayare,Non-Autonomous
"Government Polytechnic, Ratnagiri",Urban,"Near Thiba  Palace, Ratnagiri , 415612",Ratnagiri,415612,www.gpratnagiri.org,office.gpratnagiri@dtemaharashtra.gov.in,SHRI. A. M. JADHAV,222435 Ext.- ,222203 Ext.- ,Shri. K. G. Narvekar,Non-Autonomous
